Prov,,Company name,Company Twitter,,Company Twitter,"Nb. of 
Employees",What do they do (Verbatim - 10 words max.)  ,Link to website,HQ City,HQ Country,CEO name,CEO Twitter,,CEO's Twitter,Link to jobpage
Legacy,Old,Avaaz,Avaaz,twitter.com/,twitter.com/Avaaz,51-200,Largest global progressive movement,https://www.avaaz.org/page/en/,"New York, NY",USA,Ricken Patel‎,Ricken_Patel,twitter.com/,twitter.com/Ricken_Patel,https://secure.avaaz.org/en/hiring/?rc=fb
,New,Avocado,,,twitter.com/avocadomattress,11-50,"A progressive, online retailer of natural mattresses and bedding products.",https://www.avocadogreenmattress.com/,"New York, NY",USA,Alexandra Duncan,,,,
,Old,Award Force,,,twitter.com/awardforce,11-50,"Award management software for organisers of awards, grants, scholarships",https://www.awardforce.com/,Sydney,Australia,Richard de Nys,,,https://twitter.com/dexm,
Legacy,Old,Axelerant,axelerant,twitter.com/,twitter.com/axelerant,51-200,We’re an incubator for innovative products and services created to make the world a happier place. ,https://axelerant.com,India,India,Ankur Gupta,_agupta_,twitter.com/,twitter.com/_agupta_,https://axelerant.com/careers/
Legacy,Old,Azumio,azumioinc,twitter.com/,twitter.com/azumioinc,11-50,Azumio™ is a leader in health and fitness apps on mobile devices,http://www.azumio.com/,"Palo Alto, CA",USA,Bojan Bernard Bostjancic,ventiotto,twitter.com/,twitter.com/ventiotto,http://www.azumio.com/s/contact/index.html#careers
Legacy,Old,BacklotCars,backlotcars,twitter.com/,twitter.com/backlotcars,11-50,A networking marketplace for auto dealers - Never pay auction fees again.,https://backlotcars.com/,"San Francisco, CA",USA,Justin Davis,,,,
Legacy,Old,Balsamiq,balsamiq,twitter.com/,twitter.com/balsamiq,11-50,Balsamiq Mockups is a rapid wireframing tool ,https://balsamiq.com/,internet,,Peldi Guilizzoni,peldi,twitter.com/,twitter.com/peldi,https://balsamiq.com/company/jobs/
Legacy,Old,Band Industries,bandindustries,twitter.com/,twitter.com/bandindustries,1-10,Automatic Guitar Tuner,http://www.bandindustries.com,"Port Townsend, WA",USA,Hassane Slaibi,hachisans,twitter.com/,twitter.com/hachisans,
,New,Barefoot Coders,,,twitter.com/Barefoot_Coders,1-10,Consulting company,https://barefootcoders.com/,"New York, NY",USA,Jason Berlinsky,,,twitter.com/jasonberlinsky,
Legacy,Old,Baremetrics,Baremetrics,twitter.com/,twitter.com/Baremetrics,1-10,Subscription Analytics & Insights for Stripe,https://baremetrics.com/,"Birmingham, AL",USA,Josh Pigford,Shpigford,twitter.com/,twitter.com/Shpigford,https://baremetrics.com/jobs
WWR,Old,Barrel,barrelny,twitter.com/,twitter.com/barrelny,1-10,Experience design and intelligent marketing for growing brands.,https://www.barrelny.com/about,"New York, NY",USA,Peter Kang,,,,https://www.barrelny.com
,New,Barrel Roll,,,twitter.com/gobarrelroll,1-10,We maintain WordPress.,https://gobarrelroll.com,"Norfolk, VA",USA,,,,,
Legacy,Old,Basecamp,basecamp,twitter.com/,twitter.com/basecamp,11-50,"Basecamp is everyone's favorite project management app, the tool of the trade",https://basecamp.com/,"Chicago, IL",USA,Jason Fried,jasonfried,twitter.com/,twitter.com/jasonfried,https://basecamp.com/jobs
Legacy,Old,Batchbook ,batchbook,twitter.com/,twitter.com/batchbook,11-50,Batchbook is a simple tool to help small businesses build meaningful relationships,http://batchbook.com/,"Providence, RI ",USA,Pamela O'Hara,pamohara,twitter.com/,twitter.com/pamohara,http://batchbook.com/Jobs/
,New,Be My Guest,,,N/A,1-10,"Grow your audience, generate qualified leads",https://www.bemyguest.fm/,"Columbus, OH",USA,Erik Jacobson,,,https://twitter.com/erikbison,
,New,Bearer,,,twitter.com/BearerSH,1-10,Crafting the ultimate technology to build plug'n play & reusable API Integration,https://www.bearer.sh/,Paris,France,Guillaume Montard,,,https://twitter.com/g_montard,
Legacy,Old,BeBanjo,bebanjo,twitter.com/,twitter.com/bebanjo,11-50,We help you manage your on-demand world,http://www.bebanjo.com/,Spain ,Spain,François Chabat,,,,http://www.bebanjo.com/careers
,New,BeerMenus,,,twitter.com/beermenus,1-10,We exist to help grow the craft beer market.,https://www.beermenus.com/,"New York, NY",USA,Eric Stephens,,,,
Legacy,Old,BetterDoctor,BetterDoctor,twitter.com/,twitter.com/BetterDoctor,11-50,"Search over 1,000,000 doctors rated by education and experience",https://betterdoctor.com/,"San Francisco, CA",USA,Ari Tulla,umbar,twitter.com/,twitter.com/umbar,https://betterdoctor.com/careers
,,Bevy Labs,,,twitter.com/bevylabs,11-50,Builds community in real life,https://www.bevylabs.com,"Palo Alto, CA",USA,Derek Andersen,,,twitter.com/DerekjAndersen,
Legacy,Old,Beutler Ink,BeutlerInk,twitter.com/,twitter.com/BeutlerInk,11-50,Design / Stategy / Wiki Relations,http://www.beutlerink.com/,Washington,USA,Jenny Karn (CoFounder),jennykarn,twitter.com/,twitter.com/jennykarn,
